CODID,SMILE,bgs
2234078,[C@@H]12[C@H]3[C@@H]([C@@H](C=C1)O2)C(=O)N(C3=O)CCO,4.07
4065225,[Br-].S=C1N(Cc2ccccc2)C=CN1Cn1c[n+](Cc2ccccc2)cc1,2.85
4067260,[Os]1(Cl)(Cl)([n]2ccc(cc2c2[n]1ccc(c2)C(=O)O)C(=O)O)(C#[O])C#[O],1.36
1514326,O=N([O-])=NC#N.n1(c[n+](cc1)C)CC#C,3.66
4022345,s1c2cc(OC)ccc2c(c2c3ccccc3nc12)c1ccccc1,2.11
4503997,C(=O)(/C=C/C=C/C(=O)OCc1c(c(c(c(F)c1F)F)F)F)OCc1c(c(c(c(F)c1F)F)F)F,2.74
4029462,O=P(Cl)(C12CC34C5C67CC(C4)CC48C3C3(C9C5(C1)CC(C6)CC9(CC(C4)C3)C78)C2)Cl,3.6
7154629,P(=O)(OC)(OC)c1nn2C(=O)Nc3ccc(F)cc3c2c1C(=O)c1ccccc1,2.66
7118889,F[C@H]1[C@@H](F)[C@@H](F)[C@@H](F)C1,6.14
2213624,O[C@H]1CC[C@H]2[C@@]([C@H]1C)([C@H](OC(=O)C(=C/C)\C)C1=C(C(=O)O[C@@]1(O)C2)C)C,3.83
7153629,Ic1ccccc1n1nnc2c1cccc2I,2.87
2239150,NC(=O)Cc1coc2c1ccc(c2)O,3.5
7220119,N(C)(C)c1ccc(/C=C(/C(=O)OCC)C#N)cc1,1.89
7151577,o1nc(c2C[C@H]([NH2+]Cc12)C(=O)[O-])O.O,4.57
4025788,c1(cc(c(cc1Nc1ccc(cc1)Nc1c(cccc1)C(=O)OCC)C(=O)OCC)Nc1ccc(cc1)Nc1c(cccc1)C(=O)OCC)C(=O)OCC.ClCCl.C(Cl)Cl,1.43
4073155,N(c1c(cccc1C)C)C1=[NH+][C@@H](Cc2c1cccc2)C(=O)OC.C(F)(F)(F)S(=O)(=O)[O-],3.28
2226415,O=N(CCNC(=O)CCCCCCCCC)(C)C,4.18
4109988,n1ccc(cc1)/C=C/c1ccccc1,2.73
4102039,Brc1c2[C@H]3[C@]45[C@@](C6c7ccccc7C4c4c6cccc4)([C@H](c4c3cccc4)c2c(Br)cc1)C(=O)OC5=O,3.29
2224930,O(c1ccc(Cc2[nH]nnn2)cc1)CC,3.4
4116372,c1(ccc(cc1)C12C3C4C5C3C1C5C24)C12C3C4C5C3C1C5C24,3.73
1513565,[Si]([C@@H]1C[C@@H]2C(=O)OC[C@@]3([C@@H]2C=C1)CCCC([C@H]3COC(=O)C=C)(C)C)(C)(C)C.[Si]([C@H]1C[C@H]2C(=O)OC[C@]3([C@H]2C=C1)CCCC([C@@H]3COC(=O)C=C)(C)C)(C)(C)C,3.53
4030997,O=C1O[C@@H](C1(C)C)[C@@H]1OC(OC1)(C)C,4.64
7219318,O=C([O-])C[NH3+],4.95
2205500,C[n+]1cc(ccc1)C#N.[Br-],1.71
4026881,Brc1ccc([C@H]2[C@@H](N(c3c2cccc3)C(=O)C(C)(C)C)/C=C/c2ccccc2)cc1,3.52
1501913,N1(S(=O)(=O)c2ccc(C)cc2)[C@H]2c3ccccc3C(=C)[C@@H]1CC2(C(=O)OC)C(=O)OC.N1(S(=O)(=O)c2ccc(C)cc2)[C@@H]2c3ccccc3C(=C)[C@H]1CC2(C(=O)OC)C(=O)OC,3.34
7225353,c12c3ccccc3[nH]c2c2ccccc2[nH]1.CC1C(C=C(C)C(C=1)=NC#N)=NC#N,0.414
2101905,Brc1cc([C@H](O)CC(=O)O)ccc1,4.07
7226238,C(=N\Nc1ccc(cc1)Cl)/c1ccccn1,2.19
2208414,n1c(cccc1C)C(=C=C(c1nc(ccc1)C)C(C)(C)C)C(C)(C)C,3.42
2015272,[Sr][OH2].[O-]C(=O)c1c([O-])cccc1,2.71
7150034,O1C(=O)C[C@@H](C[C@@H]1CI)c1ccccc1,4.12
4025552,N12[C@@H](CC[C@H]1[C@H](CC2=O)NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C,4.6
7151815,C1(c2cccc3CCN(c4ccc(cc4N1)C(=O)OC)c23)c1cccc(c1)N(=O)=O,0.9640000000000001
4021814,[Se](=O)(c1cccc2ccccc12)c1ccccc1,2.89
2218183,[Cl-].[NH2+](C)[C@H](C)Cc1ccccc1,4.31
7217020,O(c1ccc(C(=N\O)/C=C/c2c(OC)cccc2)cc1)CC,2.54
2200321,N1(CCCCC1)Cc1c(O)c(cc(c1)C)C(C)(C)C,3.75
7103002,c12c(c3c(cccc3)s1)cc1c(c2)c2c(cccc2)s1,2.24
7154011,[B]1(F)(F)N2C(=O)c3c(cccc3)C2=C(c2cccc[n]12)C#N,1.97
4080575,[BH]1234[BH]567[BH]89%10[BH]%11%12%13[B]%14%158([B]859(S)[BH]527[BH]273[BH]%12%14([B]%15852S)[CH]4%137[CH]16%10%11)S,3.95
7208905,c1cc(ccn1)/N=N/c1ccncc1.C(=O)(O)CCCCCCC(=O)O,1.75
2012267,s1c(N)nnc1C,3.62
2213958,Nc1c(F)c(F)c(F)c(F)c1F,2.62
4020302,O(c1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=CC[C@@]35OCCCc1ccccc1)c1nc[nH]c1)C)C.O,3.39
7218766,N1=C2OC(=C([C@@H]3[C@]2([C@H](C(=C1N)C#N)CCC3)C#N)C(=O)OCC)C.N1=C2OC(=C([C@H]3[C@@]2([C@@H](C(=C1N)C#N)CCC3)C#N)C(=O)OCC)C,2.38
4504253,O=C(Nc1ccc(N(=O)=O)cc1)Nc1ccc(C(=O)N)cc1.N(C=O)(C)C,2.23
1513458,c12ccccc1cccc2C(=O)N1C(C)(C)OC(=O)[C@@]1(C)[C@@H](c1ccccc1F)O,3.18
7154416,n12c(nnc1cccc2)c1ccccc1,3.04
4023177,c12ccccc1c(C(=O)OCC)nn2C(=O)OCC,3.17
7053128,n1(nnnc1)CCN1C(=O)OCC1,4.01
2310123,OC(=O)C(=O)O.O.O,3.38
2207725,OC(=O)c1nccnc1,2.72
2211363,o1c([C@H]2N(N=C(C)C2)c2ccc(N(=O)=O)cc2)ccc1,1.83
4500396,Ic1ccc(C(=O)C(=O)c2ccc(cc2)I)cc1,2.0
4025361,N(C(=O)C(=C(O)/C)/C#N)(c1ccccc1)C,3.45
4504831,P(=O)(OCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCC)O,5.2
4031812,[Si](c1ccccc1)([C@@H]1CC(=O)[C@@]23[C@@H]4[C@]1(C)CO[C@H]4CC(=C)[C@@H]2[C@@](OC3)(OC)C)(C)C,3.72
2214759,C(CCC[NH3+])[NH3+].[Cl-].[Cl-],5.41
2013814,Oc1cc(O)c(cc1)/C(=N/Nc1ccc(N(=O)=O)cc1N(=O)=O)C.O=CN(C)C,1.63
2018584,C1(CC(=O)OC1(C)C)C(=O)O,4.85
2011698,S1CCO[C@@]21CCC[C@H]1C2=CCC(=C1C(=O)OC)C(=O)OC.S1CCO[C@]21CCC[C@@H]1C2=CCC(=C1C(=O)OC)C(=O)OC,2.96
4029070,s1c2c(nc1n1nnc3c1cccc3)cccc2,2.81
7117482,[Ti]123456789([O]=C(O1)C)(OC(=[O]2)C)[c]1([c]3([c]4([c]25[c]6([c]7([c]8([c]912)C)C)C)C)C)C,2.73
4000134,COC(=O)c1ccccc1N(c1ccccc1C(=O)OC)c1ccccc1C(=O)OC,2.43
4081667,c1cccc2c1C1(c3ccccc3C2c2c1cc(C)c(C)c2)[c]12[Fe]3456789([cH]1[cH]3[cH]4[cH]25)[cH]1[cH]9[cH]8[cH]7[cH]61,2.73
7053222,c1(nnnn1OC)N=N([O-])=O.NNC(=[NH2+])NN,2.35
4107817,C1(=C2N(CCN2c2c3ccccc3ccc2)c2c3ccccc3ccc2)N(CCN1c1c2ccccc2ccc1)c1c2ccccc2ccc1,1.42
4021848,O1C2N(CCC2)c2c1c(c1CC3=C(Oc1c2C)CC(CC3=O)(C)C)C,2.52
2241084,Clc1cc(C(=O)/C=C/c2cocc2)ccc1,2.36
4080105,I[Pd]1([NH2][C@@H](C)c2c1ccc1ccccc21)=C1N(C)C=CN1C,2.45
4113216,[O]([Rh]1234[O]=C5C(C)(C)Cc6cccc(c6)CC(C)(C)C(O1)=[O][Rh]14([O]=C(C(C)(C)Cc4cccc(c4)CC(C)(C)C(O1)=[O]3)O2)(O5)[O]=C(C)C)=C(C)C,2.03
4021846,O1c2c([C@H]3C=CC[C@H]([C@H]3C1=O)C)cccc2.O1c2c([C@@H]3C=CC[C@@H]([C@@H]3C1=O)C)cccc2,3.93
7212665,O=C(Nc1ncccc1)c1c(cccc1)C,3.6
2203126,O=C(NC(C)(C)C)CCCC(=O)O,4.69
4508439,c1(ccc(cc1)/N=N/c1ccc(cc1)Br)Br,2.05
2011375,CC(C(=O)N)C(=O)N,4.11
4026754,c1(ccc(cc1)CC(=O)OC(C)(C)C)NNC(C)(C)C(=O)OC,3.34
1542951,FC(F)(F)C(OC1(Oc2c(CCC1)cccc2)Cc1ccccc1)C(F)(F)F,4.23
7102897,P12P3P4c5c(P1P4P1P2c2ccccc2P31)cccc5,1.95
1519905,C(=O)(C(CC(=O)OC)N1CC[NH+](CC1)C)[O-].O,3.54
2102798,Brc1ccc(C(=O)c2ccccc2)cc1,2.75
2227480,N(/N=C/c1cccc(OCC)c1O)c1ccc(cc1N(=O)=O)N(=O)=O.O=CN(C)C,1.66
1520153,C(=O)(/C=C\C(=O)O)[O-].c1[nH]cc(C)[nH+]1,2.49
7154724,Clc1ccc([C@@H]2C(=NN(C(=O)C2)c2ccc(OC)cc2)C(=O)OCC)cc1,2.45
2010885,s1c(c(S(=O)(=O)C)c2ccccc12)C,3.47
7111201,C(=O)(CCCCC(=O)N)N,4.4
2005171,O=C([O-])[C@@H]([NH3+])CC(C)C,4.8
4077966,C1CCCCc2cccc3CCCCCCc4cccc([n]4[Pd](Cl)(Cl)[n]23)C1,2.28
1542891,c1ccccc1C(=O)c1n(c(cn1)c1ccccc1)c1ccc(cc1)C,2.57
1513955,O1[C@](C(=O)C[C@H]1COC(=O)c1ccc(N(=O)=O)cc1)(C)CC=C.O1[C@@](C(=O)C[C@@H]1COC(=O)c1ccc(N(=O)=O)cc1)(C)CC=C,1.67
1543389,O=C1O[C@](OC)(C)[C@@]2(OC(=O)C(=C)N12)C,3.45
1504910,[NH+]12CC[C@@](O)(C)[C@H]1Cc1ccccc21.[Cl-],3.76
4024226,[P@@]1(=O)(Oc2ccccc2)O[C@@H]([C@H]2O[C@@H]3OC(O[C@@H]3[C@H]2O1)(C)C)c1ccc(Cl)cc1,4.02
2013612,c1(ccccc1)NC(=O)C(=O)OCC,2.83
1508608,Fc1cc(CN2CCN(CCN(CCN(CC2)Cc2cc(F)cc(F)c2)Cc2cc(F)cc(F)c2)Cc2cc(F)cc(F)c2)cc(F)c1,3.02
4028375,O1[C@@]23C(=O)c4ccccc4C(=O)[C@@]2(C2(CC2)C23CC2)C(=C1C)C(=O)OCC.O1[C@]23C(=O)c4ccccc4C(=O)[C@]2(C2(CC2)C23CC2)C(=C1C)C(=O)OCC,1.98
4001062,Fc1ccc(cc1)C1=CC(=C2C=C(OC(=C2)c2ccc(cc2)F)c2ccc(cc2)F)C=C(O1)c1ccc(cc1)F,1.23
4020174,Brc1ccc([C@@H]2[C@H]([C@H]([C@H]3[C@H]2CCCC3)O)N(=O)=O)cc1,2.74
4023085,s1c2c(c3ccccc3cc2c2ccccc12)c1csc2c1cccc2,2.35
2202678,O=C1N(C(=O)C=C1)c1ccc2C(=O)N(C(=O)c2c1)Cc1ccccc1,2.08
1516375,N(c1c(N(=O)=O)cc(c(NCCCCO)c1)N(=O)=O)CCCCO,2.08
2210951,O=Cc1ccccc1OCC#C,2.92
4502463,c1(ccccc1)[C@@H](CC(=O)OCc1ccccc1)NC(=O)[C@@H]1N(C(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)O[C@H]1C,3.96
4020281,O(C(OCc1occc1)(OCc1occc1)CN(=O)=O)Cc1occc1,2.34
7150292,O1C2(CCCN(C2=Nc2c1cccc2)Cc1ccccc1)c1ccccc1,3.1
1504948,CCOC(=O)C1(N[C@H](N(c2cc(ccc2)C)[C@@H]1C#Cc1ccccc1)C#Cc1ccccc1)C(=O)OCC.CCOC(=O)C1(N[C@@H](N(c2cc(ccc2)C)[C@H]1C#Cc1ccccc1)C#Cc1ccccc1)C(=O)OCC,2.93
7215124,c1(c2c(cccc2)cc2c1cccc2)C(=O)O,1.89
7001656,B1(Nc2c(cccc2)N1)B1Nc2c(cccc2)N1,3.22
2018306,c1cccc2c1S(=O)(=O)c1c(O2)cccc1,3.22
4067707,[Pt]1(Cl)(Cl)(Cl)([n]2ccccc2c2c1cc(F)cc2)[S](C)(=O)C.C(Cl)(Cl)Cl,2.39
1502975,C1=CC#CC#CC=CC#CC#CC=CC#CC#CC=CC#CC#C1,1.5
2209780,O=C(Nc1ccccc1)OCc1ccc(cc1)COC(=O)Nc1ccccc1,3.75
7038911,[As]1(C(=CC=C1c1ccc(OC)cc1)c1ccc(OC)cc1)c1ccccc1,2.0
7154804,O=C(O[C@@H]1[C@@H]2[C@@H]([C@H](c3cc4OCOc4cc13)c1ccc3OCOc3c1)C(=O)OC2)C.O=C(O[C@H]1[C@H]2[C@H]([C@@H](c3cc4OCOc4cc13)c1ccc3OCOc3c1)C(=O)OC2)C,3.52
7210752,c1cncc(C(=O)Nc2ccccc2)n1,2.62
4022633,[Br-].C1(=O)N(C=CC(N1)=[NH2+])[C@H]1C[C@H]2[C@](CO)(C2(F)F)O1,2.69
2211174,OC(CNC(=O)[O-])C[NH3+].O,5.09
7154609,C1(=O)c2ccccc2C(=O)c2c1n(c1ccccc1)nn2,2.02
4072174,O=C(N[B]1234[BH]567[CH]89%10[BH]%11%12%13[BH]%1458[CH]58%12[BH]27%14[BH]248[BH]473[BH]169[BH]%10%114[BH]%13527)C,4.49
1505509,Brc1ccc(/C=C(CP(=O)(O)O)/C(=O)O)cc1,2.58
7203481,c1c2c(cc3c1C(=O)N(C3=O)CC(=O)O)C(=O)N(C2=O)CC(=O)O.c1cc2c3cccc4cccc(c5cccc(c1)c25)c34,0.9470000000000001
4077787,[Sn](CN(C)C)(C)(C)C,3.56
4117594,C1(=O)[C@H]([C@@H]2CC=CC[C@@H]2CO1)C#N,4.33
2008381,Fc1c(c(F)c(F)nc1F)c1ccc(cc1)c1ccccc1,3.02
7118331,O1[C@@H]([C@]2([C@@H](C=C1c1ccccc1)C(=O)N(C2=O)C(C)(C)C)C(=O)OC)C(=O)OC.O1[C@H]([C@@]2([C@H](C=C1c1ccccc1)C(=O)N(C2=O)C(C)(C)C)C(=O)OC)C(=O)OC,3.31
2222930,O=C(Nc1nnnn1N(C(=O)C)C(=O)C)C,3.89
7206488,c1nn(cn1)Cc1c(C)c(c(Cn2cncn2)c(c1C)C)C,3.71
7154331,O=C1NC(O)CNc2nc[nH]c12,3.06
1512367,c1c(C)cc(c2n(c(c3ccccc3)c(N(=O)=O)c2I)c2ccccc2)cc1C,2.46
7154084,Clc1c(c2c(oc(c(C(=O)C)c2=O)C)cc1C)C,2.92
4071997,B1(c2c(B(c3c1cc1ccccc1c3)C)cc1ccccc1c2)C,2.17
4075640,[Ni]1([P](CC[P]1(C(C)C)C(C)C)(C(C)C)C(C)C)(O)C,2.75
7154922,Ic1ccc(O[C@H]2C[C@H](N(C2)C(=O)OCC2c3ccccc3c3ccccc23)C(=O)O)cc1.OC,3.38
4505682,c1c(cc2ccccc2n1)C#CC#Cc1cnc2c(c1)cccc2.IC(=C(I)I)I,2.09
4020664,N1(c2cc(OC)cc(OC)c2)C(=O)CCC1,3.6
2212074,[Cl-].[NH3+][C@@H](C)c1ccc(cc1)C,4.34
1540482,O[C@H]1[C@H](c2ccccc2)[C@H](N(C1=O)C)[C@H](OC)c1ccccc1,3.62
4325398,n1ccccc1c1ccc2Nc3ccccc3Cc2c1,2.39
7017744,c1nn2c(n1)nccc2N,3.33
2005354,O=c1c(cc2c(cc1)cccc2)C(=O)O,2.76
1506095,n1[nH]nc(c1)c1ccccc1,3.71
2203109,[Cl-].[Cl-].[NH2+]=C(NN)N[NH3+],4.29
2200227,N(=O)(=O)c1ccc(OC(=O)CCC)c(=O)cc1,2.04
2008366,c1(N)[nH+]cccn1.C(=O)(/C=C/C(=O)O)O.[O-]C(=O)/C=C/C(=O)[O-].c1(N)[nH+]cccn1,2.07
7154766,O=S(=O)(N(C(=C(c1ccccc1)\C(c1ccccc1)c1ccccc1)\Cl)C)C,4.14
1511805,CCC,8.29
4101841,O(Cc1ccccc1)c1ccc(cc1)C(=O)[C@H](c1ccccc1)C,3.07
7208269,c1(c(ccc(c1)N(=O)=O)O)C(=O)O,2.65
1520159,c1(ccc(Cl)cc1)N,2.76
2221827,c1(c(c(ccc1)C)C)NC(=O)C,4.12
2218833,Oc1ccc(cc1)/C=N/NC(=O)OC,2.67
1516081,F[B]1(F)n2c(N=[N]1c1ccc(N(C)C)cc1)ccc2CC,1.08
2222407,CC(=O)c1ccncc1.CC(=O)c1ccncc1.OC(=O)/C=C/C(=O)O,2.56
2012991,OC1(c2ccccc2c2c1cccc2)C,3.15
2205224,C(=O)(OCCCC)C,5.48
4024035,C(=C(/C(=O)NC(C)C)C#N)(NC(C)C)/O,4.07
2217771,c12ccccc1c(c[nH]2)C=NN=Cc1c2c(cccc2)[nH]c1,2.32
1517801,O(c1ccc([C@H](C=C)[C@H](C#N)c2ccc(OC)cc2)cc1)C,3.48
7216545,C1(=O)NC(=O)C(CC)(C(=O)N1)CC.c1(nc(N)nc(n1)N)N,3.49
7003676,O1[C@@H](OCCn2nnc(c3ncccc3)c2)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,3.19
4075456,C(#[O])[Mo]12(C#[O])(C#[O])(C#[O])[Si]3(CC)(CC)[H][Mo]3(C#[O])(C#[O])(C#[O])(C#[O])[Si]2(CC)(CC)[H]1,2.52
1513449,[Cu]12([P](c3c([N]2(C)C)cccc3)(C(C)(C)C)C(C)(C)C)[F][Cu]2([P](c3c([N]2(C)C)cccc3)(C(C)(C)C)C(C)(C)C)[F]1,1.57
2006823,O=C1OC(=O)c2c3c1ccc1c3c(cc2)C(=O)OC1=O,1.97
4335263,c1(C(N(=O)=O)(N(=O)=O)N(=O)=O)[n-]nnn1.[NH4+],2.77
2228025,c1cc(c(cc1C(=O)[O-])O)O.c1c(O)c(O)ccc1C(=O)[O-].[NH3+]CC[NH3+].O,3.25
2007015,O=C(O)/C=C(\C(=O)O)C,3.91
7152830,Brc1ccc(cc1)C[C@@]1(N=C(c2ccccc2)CC1)C(=O)OC(C)(C)C,3.42
4082698,[Cr]12345([B]67[CH]5=[CH]4[CH]3=[CH]2[N]16CCCC7)(C#[O])(C#[O])C#[O],2.61
2213149,O=C(OC)c1[nH]nc2c1CCc1c3ccccc3[nH]c21.O=C(O)C,2.36
2007914,n1(cc(c(=O)c2cnc(nc12)N1CCCC1)C(=O)O)CC,2.32
7154908,O=N(=O)C(=C/C=C(N1CCOCC1)\c1ccccc1)/c1c(O)ccc(OC(=O)C)c1,1.91
2226811,Clc1c2c(nc(c1)C)cccc2C,3.0
4513000,O=C([O-])C[NH3+],5.07
2006748,o1c(/C=C(C#N)/C(=O)C)ccc1C#N,2.17
4023913,C(=O)c1cc(c[nH]1)Cc1c[nH]c(c1)C=O,2.58
4024218,Ic1cccc2n1nnc2C#N,2.61
2201928,Nc1scc(n1)c1csc(n1)N,2.95
7153163,Oc1c(/C=N/[C@@]([C@](/N=C/c2c(O)cccc2)(C)C(=O)OC)(C)C(=O)OC)cccc1,3.09
2214780,[C@]1([C@@H]([C@@H]2OC(OC2)(C)C)OC(=O)[C@H]1O)(O)C,4.37
1529280,c12c3c(C(=C4CCN=C4)c2cccc1)cccc3,2.18
2203540,O=C1N(Cc2ccccc2)C=CC(=O)N1,3.66
4086042,c1(ccc(n1c1ccccc1)c1ccccc1)c1ccccc1,2.95
4027840,O[C@H]1[C@H]2C(C)(C)[C@H](C2)CC1,5.63
2232576,[nH]1c2C(=C(C#N)C#N)CCCc2c2cc(ccc12)C,2.06
7204362,O(c1cccc2cccc(c12)C#CC(=O)OC)C,2.18
2208349,c1(c(C(=O)O)coc1)C(=O)OCC,3.69
7152987,[C@@]123[C@H]4COC[C@@]54C=C[C@@H]([C@H]1O5)O[C@]2(CC(=O)O3)C,4.1
7219929,FC(C(=O)OC)C(=O)OC,4.94
2013641,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,5.76
2223455,C(=O)(Cc1ccc(CC(=O)[O-])cc1)[O-].c1cc(c2cc[nH+]cc2)cc[nH+]1,0.18600000000000003
1501866,S(=O)(c1ccc(C)cc1)c1c(cccc1)[C@@](O)(CC)C#Cc1ccccc1,1.47
4503650,CCc1[nH]cc([nH+]1)c1c[nH]c(CC)[nH+]1.C(#N)C(=C1C=CC(C=C1)=C(C#N)C#N)C#N.N#CC(=C1C=CC(=C(C#N)C#N)C=C1)C#N.OC.C(#N)C(C#N)=C1C=CC(C=C1)=C(C#N)C#N.OC,0.0961
2002075,Oc1cccc2c1C(=O)c1cccc(c1C2=O)O,1.88
7217714,c1c(ccc[nH+]1)C[NH2+]CC[NH2+]Cc1c[nH+]ccc1.N(=O)(=O)[O-].O=N(=O)[O-].N(=O)(=O)[O-].N(=O)(=O)[O-],1.54
7212709,[O-]C(=O)[C@@H]([NH3+])[C@H](C)CC.O=C([O-])[C@H]([NH3+])CC(C)C,4.94
1542293,O(c1ccc(CN2C(c3ccccc3CC2)C(=O)NC2CCCCC2)cc1)C,3.43
7102297,N#CC(=CC(c1ccc(N(C)C)cc1)=C1C=CC(C=C1)=C(C#N)C#N)C#N,0.6829999999999999
1100661,N(=C(\c1c(O)cccc1)C)/c1ccc(OCC)cc1,2.69
7218991,O[C@@H]1c2c(C3=C(C=C4N([C@@]13C)C(=O)c1c4cccc1)C)cccc2.O[C@H]1c2c(C3=C(C=C4N([C@]13C)C(=O)c1c4cccc1)C)cccc2,1.72
1520185,c1(ccc(cc1)OCC)NC(=O)C,3.6
4081444,[Ir]123([Ru]([Ru]1(C#[O])(C#[O])(C#[O])C#[O])([H]2)(C3=O)(C#[O])(C#[O])C#[O])([P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C#[O],1.91
2004882,N#CC(=C(N)N)C#N,3.81
7053273,c1(c(O)ccc(O)c1)C(=O)O,2.4
2223716,N(=O)(=O)O[C@H]1[C@H]2OC[C@H](OC(=O)c3cc(OC(=O)C)c(OC(=O)C)c(OC(=O)C)c3)[C@H]2OC1,3.39
2236498,C\1(=C\C#N)[C@@H]([C@@H]([C@@H](C=C1)O)O)O,2.72
1508793,Nc1c2c(c3C(=O)c4ccccc4Oc3c1)CCC2,2.48
7153254,N1(C(=O)[C@@H]2[C@@H]3[C@H](O)[C@@H](O)[C@@H](C3)[C@@H]2C1=O)C.N1(C(=O)[C@H]2[C@H]3[C@@H](O)[C@H](O)[C@H](C3)[C@H]2C1=O)C,4.16
4020820,O1[C@@]2(C(C)([C@@](CC2)(C1=O)C)C)C(=O)OC[C@](N(=O)=O)(C(N(=O)=O)(C)C)C,2.87
7008343,[GaH3][NH]=C(N(C)C)N(C)C,4.71
2203943,O1CCN(CCn2cnc3c2cccc3)CC1,3.31
7103365,C(CCl)(Cl)Cl,5.08
4109025,c12ccccc1ccc1c2CC[C@](C1=O)(C)[C@H](C)CC(=O)OC.c12ccccc1ccc1c2CC[C@@](C1=O)(C)[C@@H](C)CC(=O)OC,2.69
4023570,n1(nn(=O)c2c1cccc2)C(=O)\C=C/c1ccc(N(=O)=O)cc1.OC(=O)C(F)(F)F,1.93
7154377,O([C@H]1CC[C@H]2[C@@H]3CC=C4[C@](C)(CCC=CC4)[C@H]3CC[C@]12C)C(=O)C,4.7
1503261,c1(c(cc(cc1C)C)C)[P]1=C(c2ccccc2)C(C)(C)C2=[N]([C@H](CO2)C(C)C)[Pd]1(Cl)Cl.C(Cl)Cl,2.67
4022041,Br[C@H]1[C@H]2c3c(cccc3)C(=O)N(CC[C@@H]1Br)C2.Br[C@@H]1[C@@H]2c3c(cccc3)C(=O)N(CC[C@H]1Br)C2,3.44
2201329,[Si](C)(C)(C)C#C,5.33
2201974,O1C(C)(C)OC(=O)C(C1=O)=CN(C)OC,3.31
7150130,c1(=O)c2ccccc2nc2C(C(C)C)OC=Nn12,3.16
7151179,[C@]12(C(=O)[C@@H]([C@](CC1)(O)C)CC2=O)CC.[C@@]12(C(=O)[C@H]([C@@](CC1)(O)C)CC2=O)CC,3.2
4308614,[K+].[c-]1cccc1,3.82
7221735,c1(cc(OC)c(/C=N/C(=C(C#N)/N=C/c2ccc(cc2OC)N(C)C)C#N)cc1)N(C)C,1.06
2016306,O1C(=C(C(C(=C1N)C#N)c1cccc2ccccc12)C(=O)OC(C)C)C,2.67
2100385,N(=O)(=O)c1ccc(O)cc1,2.49
2234992,O=N(=O)c1cc(NCc2ccc(cc2)C)ccc1,1.61
2002019,O=C(c1ccccc1)Cc1ccccc1,2.82
7155270,O1C2(C(=NNC2=O)C)C=CC1,3.01
4028709,O[C@H]1O[C@H]2[C@H](O[C@@H]3OC(O[C@H]23)(C)C)CC1,5.62
2011562,O=C1CC[C@@](O1)(c1ccccc1)[C@]1(CCC(=O)O1)c1ccccc1,4.42
4103805,[n-]1nnc(n1)N=N#N.[NH4+],3.47
